
2024/11/02 (13:15:06) | ===> btop++ v.1.4.0
2024/11/02 (13:15:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (13:15:44) | ===> btop++ v.1.4.0
2024/11/02 (13:15:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (13:16:11) | ===> btop++ v.1.4.0
2024/11/02 (13:16:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (15:27:51) | ===> btop++ v.1.4.0
2025/01/04 (15:27:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (15:28:26) | ===> btop++ v.1.4.0
2025/01/04 (15:28:26) | WARNING: Intel GPU: Failed to initialize PMU
